x1,x2,x3
80.09,28.04,52.43
63.7,33.55,60.48
61.11,74.53,71.38
85.09,51.58,58.85
69.31,41.32,57.31
37.01,76.97,60.33
63.27,49.92,61.21
43.51,68.49,59.04
59.16,62.09,53.04
48.12,65.44,65.58
68.64,69.86,68.75
54.35,76.91,26.36
56.41,68.25,76.72
67.7,59.18,60.29
67.7,56.47,76.93
58.98,53.02,90.02
73.46,61.06,60.99
71.07,56.27,60.59
38.99,78.54,66.22
43.72,35.64,74.53
37.27,58.4,49.83
74.46,69.37,47.92
35.9,66.7,86.61
64.64,66.72,76.37
21.93,47.14,65.93
75.74,69.65,76.84
38.2,65.31,65.5
74.98,61.53,66.57
78.87,57.94,43.68
56.07,73.21,54.95
,55.44,59.24
,72.44,54.4
,59.75,64.94
,69.59,63.3
,68.5,61.32
,62.55,45.44
,76.77,68.23
,56.33,68.59
,75.38,74.26
,44,83.49
,76.66,
,66.55,
,74.58,
,62.84,
,74.46,
,82.46,
,61.3,
,37.24,
,38.59,
,63.07,
